"X17104.02RT.01.7_S15_L003" "X17104.02RT.01.8_S16_L002" "X17104.02RT.01.10_S18_L002" "X17104.02RT.01.11_S19_L002"
"ENSOKIT00005001041.1" 0 0 0 0
"ENSOKIT00005014277.1" 0 0 0 0
"ENSOKIT00005074755.1" 0 0 0 0
"ENSOKIT00005106146.1" 0 0 0 0
"ENSOKIT00005091876.1" 0 0 0 0
"ENSOKIT00005095739.1" 17 17 15 16
"ENSOKIT00005101604.1" 0 0 1 0
"ENSOKIT00005065657.1" 736 58 0 20
"ENSOKIT00005052652.1" 48 25 40 67
"ENSOKIT00005099616.1" 0 0 0 0
"ENSOKIT00005094666.1" 0 0 0 0
"ENSOKIT00005100474.1" 1 0 0 0
"ENSOKIT00005051756.1" 79 106 97 52
"ENSOKIT00005028522.1" 319 237 255 164
"ENSOKIT00005007625.1" 0 0 0 0
"ENSOKIT00005024003.1" 14 48 59 82
"ENSOKIT00005089392.1" 0 0 0 0
"ENSOKIT00005052426.1" 0 0 0 0
"ENSOKIT00005103082.1" 0 0 0 0
"ENSOKIT00005072875.1" 0 0 0 0
"ENSOKIT00005032674.1" 0 0 0 0
"ENSOKIT00005008407.1" 0 4 1 1
"ENSOKIT00005028722.1" 68 48 113 73
"ENSOKIT00005006105.1" 0 0 0 1
"ENSOKIT00005037739.1" 1 2 2 1
"ENSOKIT00005056594.1" 11 12 29 12
"ENSOKIT00005056744.1" 0 0 0 0
"ENSOKIT00005020760.1" 7 16 5 11
"ENSOKIT00005099862.1" 0 0 0 0
"ENSOKIT00005110137.1" 0 0 0 0
"ENSOKIT00005070143.1" 0 0 0 0
"ENSOKIT00005101588.1" 0 0 0 0
"ENSOKIT00005062062.1" 0 0 0 0
"ENSOKIT00005040334.1" 0 1 0 0
"ENSOKIT00005010338.1" 0 0 0 0
"ENSOKIT00005042145.1" 474 880 888 478
"ENSOKIT00005110497.1" 5 9 15 9
"ENSOKIT00005048301.1" 26 89 21 17
"ENSOKIT00005037538.1" 0 0 0 0
"ENSOKIT00005124664.1" 0 0 0 1
"ENSOKIT00005103115.1" 0 0 0 0
"ENSOKIT00005018875.1" 38 61 43 43
"ENSOKIT00005091918.1" 0 0 0 0
"ENSOKIT00005057074.1" 0 0 0 0
"ENSOKIT00005111015.1" 15 84 64 57
"ENSOKIT00005056667.1" 0 0 0 0
"ENSOKIT00005057121.1" 0 0 0 0
"ENSOKIT00005091757.1" 1 2 0 2
"ENSOKIT00005090262.1" 0 0 0 0
"ENSOKIT00005102903.1" 0 0 0 0
"ENSOKIT00005070161.1" 4 3 0 0
"ENSOKIT00005006373.1" 0 10 0 0
"ENSOKIT00005077117.1" 965 2249 850 549
"ENSOKIT00005105729.1" 0 1 0 0
"ENSOKIT00005038424.1" 0 0 0 0
"ENSOKIT00005075996.1" 78 42 62 39
"ENSOKIT00005003980.1" 0 0 0 0
"ENSOKIT00005017871.1" 13 24 19 18
"ENSOKIT00005090256.1" 0 0 0 0
"ENSOKIT00005015135.1" 0 3 0 0
"ENSOKIT00005060196.1" 814 1851 1240 146
"ENSOKIT00005021408.1" 12 2 9 5
"ENSOKIT00005103444.1" 285 394 397 205
"ENSOKIT00005000757.1" 0 24 12 4
"ENSOKIT00005056601.1" 27 15 22 9
"ENSOKIT00005004831.1" 0 0 0 0
"ENSOKIT00005058581.1" 7143 3561 4756 5864
"ENSOKIT00005077439.1" 0 0 0 0
"ENSOKIT00005072486.1" 0 0 0 0
"ENSOKIT00005019057.1" 29 57 67 40
"ENSOKIT00005005106.1" 2 2 0 0
"ENSOKIT00005098680.1" 25 42 27 22
