target_id	length	eff_length	est_counts	tpm
ENSOKIT00005008248.1	108	45.265	0	0
ENSOKIT00005067423.1	105	45.773	0	0
ENSOKIT00005000004.1	164	43.6734	0	0
ENSOKIT00005000005.1	164	43.6734	0	0
ENSOKIT00005000035.1	54	21.0726	0	0
ENSOKIT00005000058.1	53	20.4016	0	0
ENSOKIT00005001108.1	142	37.5311	0	0
ENSOKIT00005001115.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001120.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001127.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001132.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001140.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001146.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001156.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001159.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001166.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001171.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001175.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001182.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001188.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001192.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001200.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001206.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001210.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001218.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001226.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001229.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001239.1	142	37.5311	0.142857	2.40314
ENSOKIT00005001244.1	142	37.5311	0	0
ENSOKIT00005001384.1	54	21.0726	0	0
ENSOKIT00005001800.1	53	20.4016	0	0
ENSOKIT00005003363.1	54	21.0726	1	29.9606
ENSOKIT00005003980.1	52	19.562	0	0
ENSOKIT00005004343.1	150	39.6558	0	0
ENSOKIT00005004831.1	160	42.8093	0	0
ENSOKIT00005004854.1	165	44.0306	0	0
ENSOKIT00005004867.1	164	43.6734	0	0
ENSOKIT00005004886.1	164	43.6734	0	0
ENSOKIT00005004901.1	164	43.6734	0	0
ENSOKIT00005004916.1	164	43.6734	0	0
ENSOKIT00005004935.1	164	43.6734	0	0
ENSOKIT00005004952.1	164	43.6734	0	0
ENSOKIT00005004967.1	164	43.6734	0	0
ENSOKIT00005004984.1	164	43.6734	0	0
ENSOKIT00005004997.1	164	43.6734	0	0
ENSOKIT00005005009.1	164	43.6734	0	0
ENSOKIT00005005027.1	164	43.6734	0	0
ENSOKIT00005005040.1	164	43.6734	0	0
ENSOKIT00005005052.1	164	43.6734	0	0
ENSOKIT00005005064.1	164	43.6734	0	0
ENSOKIT00005005078.1	164	43.6734	0	0
ENSOKIT00005005094.1	164	43.6734	0	0
ENSOKIT00005005104.1	164	43.6734	0	0
ENSOKIT00005005116.1	164	43.6734	0	0
ENSOKIT00005005126.1	164	43.6734	0	0
ENSOKIT00005005133.1	164	43.6734	0	0
ENSOKIT00005005142.1	164	43.6734	0	0
ENSOKIT00005005158.1	164	43.6734	0	0
ENSOKIT00005005170.1	163	43.3864	0	0
ENSOKIT00005005251.1	164	43.6734	0	0
ENSOKIT00005005337.1	162	43.1466	0	0
ENSOKIT00005005346.1	57	23.2617	0	0
ENSOKIT00005005352.1	55	21.9599	0	0
ENSOKIT00005005357.1	148	39.0378	0	0
ENSOKIT00005005372.1	163	43.3864	0	0
ENSOKIT00005005388.1	163	43.3864	0	0
ENSOKIT00005005402.1	164	43.6734	0	0
ENSOKIT00005005586.1	55	21.9599	0	0
ENSOKIT00005006189.1	155	41.3109	2	30.5656
ENSOKIT00005006944.1	55	21.9599	0	0
ENSOKIT00005008550.1	140	38.0152	0	0
ENSOKIT00005009138.1	54	21.0726	0	0
ENSOKIT00005009875.1	53	20.4016	0	0
ENSOKIT00005009971.1	57	23.2617	0	0
ENSOKIT00005010965.1	141	37.8256	0	0
ENSOKIT00005011164.1	55	21.9599	0	0
ENSOKIT00005011315.1	53	20.4016	0	0
ENSOKIT00005011468.1	57	23.2617	0	0
ENSOKIT00005011681.1	57	23.2617	0	0
ENSOKIT00005012364.1	55	21.9599	0	0
ENSOKIT00005013468.1	57	23.2617	0	0
ENSOKIT00005014503.1	209	62.3325	0	0
ENSOKIT00005015055.1	151	39.9447	0	0
ENSOKIT00005015194.1	53	20.4016	0	0
ENSOKIT00005015508.1	55	21.9599	0	0
ENSOKIT00005015557.1	117	43.4498	0	0
ENSOKIT00005015564.1	154	40.9265	0	0
ENSOKIT00005016076.1	134	38.7693	0	0
ENSOKIT00005016299.1	56	22.6132	0	0
ENSOKIT00005016577.1	164	43.6734	0	0
ENSOKIT00005016585.1	191	54.3133	0.149155	1.73381
ENSOKIT00005016586.1	174	47.2404	0	0
ENSOKIT00005016594.1	117	43.4498	0	0
ENSOKIT00005016606.1	117	43.4498	0	0
ENSOKIT00005016635.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016641.1	149	39.2833	0	0
ENSOKIT00005016692.1	117	43.4498	0	0
ENSOKIT00005016697.1	165	44.0306	0	0
ENSOKIT00005016702.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016711.1	161	43.0654	0	0
ENSOKIT00005016716.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016725.1	176	48.0824	0	0
ENSOKIT00005016729.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016735.1	140	38.0152	0	0
ENSOKIT00005016737.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016743.1	184	51.4247	0	0
ENSOKIT00005016751.1	117	43.4498	0	0
ENSOKIT00005016757.1	176	48.0824	0	0
ENSOKIT00005016765.1	176	48.0824	0	0
ENSOKIT00005016771.1	181	50.2099	0	0
ENSOKIT00005016777.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016786.1	180	49.803	0	0
ENSOKIT00005016788.1	114	43.8059	0	0
ENSOKIT00005016790.1	185	51.8749	0	0
ENSOKIT00005016793.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016798.1	184	51.4247	0	0
ENSOKIT00005016805.1	118	42.936	0	0
ENSOKIT00005016810.1	178	48.8854	0	0
ENSOKIT00005016812.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016816.1	181	50.2099	0	0
ENSOKIT00005016821.1	174	47.2404	0	0
ENSOKIT00005016829.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016835.1	178	48.8854	0	0
ENSOKIT00005016839.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016845.1	177	48.4587	0	0
ENSOKIT00005016852.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016858.1	177	48.4587	0	0
ENSOKIT00005016865.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016874.1	197	56.8796	0	0
ENSOKIT00005016880.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016888.1	191	54.3133	0.186188	2.16427
ENSOKIT00005016894.1	116	43.4242	0	0
ENSOKIT00005016900.1	197	56.8796	0	0
ENSOKIT00005016907.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016921.1	176	48.0824	0	0
ENSOKIT00005016930.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016934.1	198	57.3172	13937	153515
ENSOKIT00005016943.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016949.1	191	54.3133	0.186188	2.16427
ENSOKIT00005016952.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016957.1	184	51.4247	0	0
ENSOKIT00005016961.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016968.1	172	46.4947	0	0
ENSOKIT00005016977.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016982.1	172	46.4947	0	0
ENSOKIT00005016985.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016989.1	172	46.4947	0	0
ENSOKIT00005016990.1	117	43.4498	0.228571	3.32126
ENSOKIT00005016996.1	172	46.4947	0	0
ENSOKIT00005017003.1	117	43.4498	0.228571	3.32126
ENSOKIT00005017007.1	172	46.4947	0	0
ENSOKIT00005017011.1	117	43.4498	0.228571	3.32126
ENSOKIT00005017014.1	172	46.4947	0	0
ENSOKIT00005017019.1	120	42.1454	0	0
ENSOKIT00005017025.1	169	45.565	0	0
ENSOKIT00005017107.1	55	21.9599	0	0
ENSOKIT00005018722.1	55	21.9599	0	0
ENSOKIT00005019852.1	54	21.0726	0	0
ENSOKIT00005020328.1	128	39.7497	0	0
ENSOKIT00005020343.1	174	47.2404	0	0
ENSOKIT00005020735.1	71	33.0982	0	0
ENSOKIT00005020743.1	116	43.4242	0	0
ENSOKIT00005020776.1	128	39.7497	0	0
ENSOKIT00005022245.1	57	23.2617	0	0
ENSOKIT00005022877.1	147	38.6937	60	978.992
ENSOKIT00005023755.1	116	43.4242	0	0
ENSOKIT00005023932.1	116	43.4242	0	0
ENSOKIT00005023936.1	116	43.4242	0	0
ENSOKIT00005023970.1	116	43.4242	0	0
ENSOKIT00005024021.1	55	21.9599	0	0
ENSOKIT00005024563.1	54	21.0726	0	0
ENSOKIT00005027043.1	55	21.9599	0	0
ENSOKIT00005027093.1	124	40.5015	6	93.5293
ENSOKIT00005028849.1	53	20.4016	0	0
ENSOKIT00005029040.1	145	37.9093	2	33.3082
ENSOKIT00005029251.1	155	41.3109	1	15.2828
ENSOKIT00005029869.1	55	21.9599	0	0
ENSOKIT00005029939.1	53	20.4016	0.4	12.3783
ENSOKIT00005029952.1	55	21.9599	0	0
ENSOKIT00005030751.1	55	21.9599	0	0
ENSOKIT00005030787.1	175	47.6483	0	0
ENSOKIT00005031833.1	162	43.1466	0	0
ENSOKIT00005031839.1	113	43.9177	0	0
ENSOKIT00005031846.1	183	51.2496	0	0
ENSOKIT00005031851.1	116	43.4242	0	0
ENSOKIT00005032850.1	125	40.4134	0	0
ENSOKIT00005032862.1	186	52.2454	0	0
ENSOKIT00005032872.1	55	21.9599	0	0
ENSOKIT00005033186.1	55	21.9599	0	0
ENSOKIT00005033189.1	55	21.9599	0	0
ENSOKIT00005033384.1	130	39.3048	0	0
ENSOKIT00005033387.1	130	39.3048	0	0
ENSOKIT00005033398.1	130	39.3048	0	0
ENSOKIT00005033504.1	53	20.4016	0	0
ENSOKIT00005034049.1	224	70.5753	5.71858	51.1568
ENSOKIT00005034704.1	53	20.4016	0.4	12.3783
ENSOKIT00005036141.1	137	38.1031	0	0
ENSOKIT00005037013.1	164	43.6734	0	0
ENSOKIT00005037019.1	191	54.3133	0.149155	1.73381
ENSOKIT00005037025.1	128	39.7497	0	0
ENSOKIT00005038419.1	56	22.6132	1	27.9194
