target_id	length	eff_length	est_counts	tpm
ENSOKIT00005008248.1	108	40.958	0	0
ENSOKIT00005067423.1	105	41.7031	0	0
ENSOKIT00005000004.1	164	39.1403	0	0
ENSOKIT00005000005.1	164	39.1403	0	0
ENSOKIT00005000035.1	54	23.211	0	0
ENSOKIT00005000058.1	53	22.7324	0	0
ENSOKIT00005001108.1	142	30.227	0	0
ENSOKIT00005001115.1	142	30.227	0.190476	5.66189
ENSOKIT00005001120.1	142	30.227	0.190476	5.66189
ENSOKIT00005001127.1	142	30.227	0.190476	5.66189
ENSOKIT00005001132.1	142	30.227	0.190476	5.66189
ENSOKIT00005001140.1	142	30.227	0.190476	5.66189
ENSOKIT00005001146.1	142	30.227	0.190476	5.66189
ENSOKIT00005001156.1	142	30.227	0.190476	5.66189
ENSOKIT00005001159.1	142	30.227	0.190476	5.66189
ENSOKIT00005001166.1	142	30.227	0.190476	5.66189
ENSOKIT00005001171.1	142	30.227	0.190476	5.66189
ENSOKIT00005001175.1	142	30.227	0.190476	5.66189
ENSOKIT00005001182.1	142	30.227	0.190476	5.66189
ENSOKIT00005001188.1	142	30.227	0.190476	5.66189
ENSOKIT00005001192.1	142	30.227	0.190476	5.66189
ENSOKIT00005001200.1	142	30.227	0.190476	5.66189
ENSOKIT00005001206.1	142	30.227	0.190476	5.66189
ENSOKIT00005001210.1	142	30.227	0.190476	5.66189
ENSOKIT00005001218.1	142	30.227	0.190476	5.66189
ENSOKIT00005001226.1	142	30.227	0.190476	5.66189
ENSOKIT00005001229.1	142	30.227	0.190476	5.66189
ENSOKIT00005001239.1	142	30.227	0.190476	5.66189
ENSOKIT00005001244.1	142	30.227	0	0
ENSOKIT00005001384.1	54	23.211	0	0
ENSOKIT00005001800.1	53	22.7324	0.166667	6.58748
ENSOKIT00005003363.1	54	23.211	0	0
ENSOKIT00005003980.1	52	21.8349	0	0
ENSOKIT00005004343.1	150	33.1711	0	0
ENSOKIT00005004831.1	160	37.5045	0	0
ENSOKIT00005004854.1	165	39.5327	0	0
ENSOKIT00005004867.1	164	39.1403	0	0
ENSOKIT00005004886.1	164	39.1403	0	0
ENSOKIT00005004901.1	164	39.1403	0	0
ENSOKIT00005004916.1	164	39.1403	0	0
ENSOKIT00005004935.1	164	39.1403	0	0
ENSOKIT00005004952.1	164	39.1403	0	0
ENSOKIT00005004967.1	164	39.1403	0	0
ENSOKIT00005004984.1	164	39.1403	0	0
ENSOKIT00005004997.1	164	39.1403	0	0
ENSOKIT00005005009.1	164	39.1403	0	0
ENSOKIT00005005027.1	164	39.1403	0	0
ENSOKIT00005005040.1	164	39.1403	0	0
ENSOKIT00005005052.1	164	39.1403	0	0
ENSOKIT00005005064.1	164	39.1403	0	0
ENSOKIT00005005078.1	164	39.1403	0	0
ENSOKIT00005005094.1	164	39.1403	0	0
ENSOKIT00005005104.1	164	39.1403	0	0
ENSOKIT00005005116.1	164	39.1403	0	0
ENSOKIT00005005126.1	164	39.1403	0	0
ENSOKIT00005005133.1	164	39.1403	0	0
ENSOKIT00005005142.1	164	39.1403	0	0
ENSOKIT00005005158.1	164	39.1403	0	0
ENSOKIT00005005170.1	163	38.8551	0	0
ENSOKIT00005005251.1	164	39.1403	0	0
ENSOKIT00005005337.1	162	38.4339	0	0
ENSOKIT00005005346.1	57	25.5625	0	0
ENSOKIT00005005352.1	55	24.105	0	0
ENSOKIT00005005357.1	148	32.3726	0	0
ENSOKIT00005005372.1	163	38.8551	0	0
ENSOKIT00005005388.1	163	38.8551	0	0
ENSOKIT00005005402.1	164	39.1403	0	0
ENSOKIT00005005586.1	55	24.105	0	0
ENSOKIT00005006189.1	155	35.3902	0	0
ENSOKIT00005006944.1	55	24.105	0	0
ENSOKIT00005008550.1	140	30.2916	0	0
ENSOKIT00005009138.1	54	23.211	0	0
ENSOKIT00005009875.1	53	22.7324	0	0
ENSOKIT00005009971.1	57	25.5625	0	0
ENSOKIT00005010965.1	141	30.0264	0	0
ENSOKIT00005011164.1	55	24.105	0	0
ENSOKIT00005011315.1	53	22.7324	0	0
ENSOKIT00005011468.1	57	25.5625	0	0
ENSOKIT00005011681.1	57	25.5625	0	0
ENSOKIT00005012364.1	55	24.105	0	0
ENSOKIT00005013468.1	57	25.5625	0	0
ENSOKIT00005014503.1	209	62.9332	0	0
ENSOKIT00005015055.1	151	33.6343	0	0
ENSOKIT00005015194.1	53	22.7324	0	0
ENSOKIT00005015508.1	55	24.105	0	0
ENSOKIT00005015557.1	117	39.2053	0	0
ENSOKIT00005015564.1	154	35.0676	0	0
ENSOKIT00005016076.1	134	32.6499	0	0
ENSOKIT00005016299.1	56	24.6726	0	0
ENSOKIT00005016577.1	164	39.1403	0	0
ENSOKIT00005016585.1	191	52.7305	0.272727	4.64711
ENSOKIT00005016586.1	174	44.0061	0	0
ENSOKIT00005016594.1	117	39.2053	0	0
ENSOKIT00005016606.1	117	39.2053	0	0
ENSOKIT00005016635.1	117	39.2053	0.0857143	1.96437
ENSOKIT00005016641.1	149	32.7227	0	0
ENSOKIT00005016692.1	117	39.2053	0	0
ENSOKIT00005016697.1	165	39.5327	0	0
